BOS what kind of aircraft is used on a flight from cleveland to dallas EOS	O O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_aircraft
BOS show me the flights from pittsburgh to san francisco for thursday night or friday EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day B-or B-depart_date.day_name atis_flight
BOS ground transportation in westchester county EOS	O O O O B-city_name I-city_name atis_ground_service
BOS show me the earliest flight from denver to las vegas EOS	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS what's the difference between fare code q and fare code f EOS	O O O O O O O B-fare_basis_code O O O B-fare_basis_code atis_abbreviation
BOS what does flight code us mean EOS	O O O O O B-airline_code O atis_flight
BOS how many us air flights leave from washington EOS	O O O B-airline_name I-airline_name O O O B-fromloc.city_name atis_quantity
BOS show me all overnight flights from washington dc to san francisco and list their fares EOS	O O O O B-flight_mod O O B-fromloc.city_name B-fromloc.state_code O B-toloc.city_name I-toloc.city_name O O O O atis_flight
BOS flights from las vegas to phoenix EOS	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS first class round trip airfare from indianapolis to memphis EOS	O B-class_type I-class_type B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS list all flights on continental leaving denver on sunday after 2134 EOS	O O O O O B-airline_name O B-fromloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time atis_flight
BOS what are the lowest one way fares from atlanta to denver EOS	O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS flights from kansas city to cleveland on wednesday EOS	O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS i want to travel from kansas city to chicago round trip leaving wednesday june sixteenth arriving in chicago at around 7 o'clock in the evening and returning the next day arriving in kansas city at around 7 o'clock in the evening which airlines fly that route EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O B-depart_date.day_name B-depart_date.month_name B-depart_date.day_number O O B-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O B-return_date.date_relative O O O B-toloc.city_name I-toloc.city_name O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O O B-arrive_time.period_of_day O O O O O atis_flight
BOS is there ground transportation from san diego airport to the downtown area EOS	O O O O O O B-fromloc.airport_name I-fromloc.airport_name I-fromloc.airport_name O O O O atis_ground_service
BOS hi i need to get a flight from memphis to salt lake city departing before 10 am EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS is there an early morning delta airlines flight between boston and washington EOS	O O O O B-depart_time.period_of_day B-depart_time.period_of_day B-airline_name I-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS what are the flights from orlando to kansas city EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS what are the latest flights that i can take from baltimore to boston EOS	O O O O B-flight_mod O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS list flights from philadelphia to san francisco via dallas EOS	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name atis_flight
BOS what's the ground transportation like at pittsburgh EOS	O O O O O O O B-city_name atis_ground_service
BOS what is the coach fare between boston and atlanta on delta EOS	O O O O B-class_type O O B-fromloc.city_name O B-toloc.city_name O B-airline_name atis_airfare
BOS i'd like to fly from philadelphia to san francisco through dallas EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name atis_flight
BOS i would like to fly from denver to atlanta by way of pittsburgh EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-stoploc.city_name atis_flight
BOS let's look at baltimore to philadelphia again EOS	O O O O B-fromloc.city_name O B-toloc.city_name O atis_flight
BOS can i go from boston to san francisco with a stopover in denver EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS is there ground transportation from the airport to downtown phoenix EOS	O O O O O O O O O O B-toloc.city_name atis_ground_service
BOS what flights leave philadelphia for dallas and depart before noon on american airlines EOS	O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time O B-airline_name I-airline_name atis_flight
BOS please list information regarding san francisco airport EOS	O O O O O B-airport_name I-airport_name I-airport_name atis_airport
BOS what flights leave chicago and arrive in detroit around 6 pm next tuesday EOS	O O O O B-fromloc.city_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.date_relative B-arrive_date.day_name atis_flight
BOS show me flights from dallas to atlanta EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS please give all flights from dallas to oakland california monday EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name B-depart_date.day_name atis_flight
BOS list all the landings at general mitchell international EOS	O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name atis_flight
BOS i need a flight from denver to washington dc on wednesday EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name atis_flight
BOS find a flight from boston to washington on monday EOS	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS i want to make a trip from washington to san francisco EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS show me all flights from san francisco to atlanta EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS i'd like to book the cheapest one way flight from denver to pittsburgh on july fifteenth EOS	O O O O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS what is the fare going one way on november seventh from denver to oakland EOS	O O O O O O B-round_trip I-round_trip O B-depart_date.month_name B-depart_date.day_number O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS i want a flight departing from newark to los angeles that leaves in the morning EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-depart_time.period_of_day atis_flight
BOS what airlines fly from boston to denver EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS which airlines fly between boston and philadelphia EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what is the cost of round trip ticket first class between oakland and atlanta EOS	O O O O O O B-round_trip I-round_trip O B-class_type I-class_type O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS how many flights does each airline have with first class service EOS	O O O O O O O O O B-class_type I-class_type O atis_quantity
BOS i would like to see the economy fares for denver to philadelphia EOS	O O O O O O O B-economy O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show flights between boston and philadelphia EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS list the total number of flights to all airports by delta EOS	O O O O O O O O O O O B-airline_name atis_quantity
BOS is there a flight on continental airlines from boston to denver EOS	O O O O O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS flights from pittsburgh to baltimore between 10 am and 2 pm EOS	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time atis_flight
BOS i'd like a limo in denver on august seventh EOS	O O O O B-transport_type O B-fromloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_ground_service
BOS show me delta flights from dallas to denver EOS	O O O B-airline_name O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS which flights are between boston and baltimore washington EOS	O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name atis_flight
BOS flights from pittsburgh to baltimore between 10 am and 2 pm EOS	O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.start_time I-depart_time.start_time O B-depart_time.end_time I-depart_time.end_time atis_flight
BOS show me the flights from chicago to indianapolis EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS list ground transportation in detroit EOS	O O O O O B-city_name atis_ground_service
BOS when is the first flight leaving from oakland to boston EOS	O O O O B-flight_mod O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS what is the distance between pittsburgh airport and downtown pittsburgh EOS	O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O B-toloc.city_name atis_distance
BOS what is the cheapest fare from denver to pittsburgh EOS	O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS and flights leaving from atlanta to oakland leaving after 5 pm EOS	O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS what is the first flight after 8 am from boston to san francisco EOS	O O O O B-flight_mod O B-depart_time.time_relative B-depart_time.time I-depart_time.time O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS how much does it cost to fly directly from philadelphia to san francisco on american airlines EOS	O O O O O O O O B-flight_stop O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name atis_airfare
BOS all northwest and united airlines flights with stopovers in denver EOS	O O B-airline_name O B-airline_name I-airline_name O O O O B-stoploc.city_name atis_flight
BOS ground transportation in denver EOS	O O O O B-city_name atis_ground_service
BOS need a flight from pittsburgh to denver EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS show me the flights from boston to baltimore EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS show me round trip fares between san francisco and washington dc EOS	O O O B-round_trip I-round_trip O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-toloc.state_code atis_airfare
BOS what flights arrive in chicago on sunday on continental EOS	O O O O O B-toloc.city_name O B-arrive_date.day_name O B-airline_name atis_flight
BOS what's the lowest round trip fare from atlanta to pittsburgh EOS	O O O B-cost_relative B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what airline is as EOS	O O O O B-airline_code atis_airline
BOS i would like to fly from atlanta to san francisco with a stopover in dallas EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O O O B-stoploc.city_name atis_flight
BOS now i'd like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta EOS	O O O O O B-flight_time O O O O B-depart_date.day_name B-depart_time.period_of_day O B-fromloc.city_name O O B-fromloc.city_name I-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS i need a first class ticket on united airlines from denver to baltimore scheduled for december seventeenth EOS	O O O O B-class_type I-class_type O O B-airline_name I-airline_name O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.month_name B-depart_date.day_number atis_airfare
BOS which united airlines flights go through denver EOS	O O B-airline_name I-airline_name O O O B-stoploc.city_name atis_flight
BOS flights from atlanta please EOS	O O O B-fromloc.city_name O atis_flight
BOS all delta flights to everywhere if you can EOS	O O B-airline_name O O O O O O atis_flight
BOS show first flight from boston to philadelphia EOS	O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS show flights from pittsburgh to oakland EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS show me early friday morning flights from san francisco to boston EOS	O O O B-depart_time.period_mod B-depart_date.day_name B-depart_time.period_of_day O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name atis_flight
BOS do you have the fare for traveling from oakland airport to oakland downtown EOS	O O O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O B-toloc.city_name O atis_airfare
BOS give me the flights from pittsburgh to los angeles on thursday evening EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS does delta aircraft fly dc10 EOS	O O B-airline_name O O B-aircraft_code atis_aircraft
BOS show me all flights from atlanta to san francisco EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS what is the most expensive flight from boston to dallas EOS	O O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS list the flights from toronto to salt lake city EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS i'm sorry i want to book a flight from atlanta to denver colorado EOS	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_name atis_flight
BOS what flights are currently available between boston and dallas fort worth EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS how can i go from minneapolis to long beach late tomorrow EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name B-depart_time.period_mod B-depart_date.today_relative atis_flight
BOS what is ewr EOS	O O O B-airport_code atis_abbreviation
BOS list the takeoffs and landings at general mitchell international EOS	O O O O O O O B-airport_name I-airport_name I-airport_name atis_flight
BOS show me all the one way fares from tacoma to montreal EOS	O O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS show me the type of aircraft that cp uses EOS	O O O O O O O O B-airline_code O atis_aircraft
BOS does american airlines fly to san francisco from atlanta EOS	O O B-airline_name I-airline_name O O B-toloc.city_name I-toloc.city_name O B-fromloc.city_name atis_flight
BOS i would like to fly from baltimore to san francisco on eastern airlines EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name atis_flight
BOS does midwest express serve baltimore EOS	O O B-airline_name O O B-city_name atis_flight
BOS from washington to atlanta EOS	O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS what are the flights from pittsburgh to oakland EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS show me the airlines between boston and toronto EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS can you list flights from boston to washington with the lowest one way fares that leave on saturday EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-cost_relative B-round_trip I-round_trip O O O O B-depart_date.day_name atis_flight
BOS show me the least expensive flight leaving miami on sunday after 12 o'clock noon and arriving cleveland EOS	O O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-depart_date.day_name B-depart_time.time_relative B-depart_time.time I-depart_time.time I-depart_time.time O O B-toloc.city_name atis_flight
BOS i'm requesting flight information on a flight from denver to san francisco on wednesday EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS what airlines have flights from boston to philadelphia that leave before 630 am EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_airline
BOS i want a flight from ontario to chicago EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS list all flights from minneapolis to long beach on saturday EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_flight
BOS find me the earliest flight from boston to atlanta and the latest return from atlanta to boston within the same day EOS	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O atis_flight
BOS please list ground transportation in atlanta EOS	O O O O O O B-city_name atis_ground_service
BOS how many cities are served by eastern with first class flights EOS	O O O O O O O B-airline_name O B-class_type I-class_type O atis_quantity
BOS what about a flight from boston to san francisco stopping in denver EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O O B-stoploc.city_name atis_flight
BOS show me some information on making a reservation from philadelphia to denver on sunday EOS	O O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS list all flights on continental from denver to chicago which depart after 934 pm EOS	O O O O O B-airline_name O B-fromloc.city_name O B-toloc.city_name O O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS list all nonstop flights on tuesday before noon from charlotte to baltimore EOS	O O O B-flight_stop O O B-arrive_date.day_name B-arrive_time.time_relative B-arrive_time.time O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS what is the most expensive flight from dallas to baltimore EOS	O O O O B-cost_relative I-cost_relative O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS is there a flight from pittsburgh to baltimore that arrives between 6 and 7 pm EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O O O B-arrive_time.start_time O B-arrive_time.end_time I-arrive_time.end_time atis_flight
BOS i would like an early morning flight from chicago into seattle on continental airlines EOS	O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name O B-airline_name I-airline_name atis_flight
BOS show me the one way flights from detroit to westchester county EOS	O O O O B-round_trip I-round_trip O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS does any airline have an early afternoon flight from boston to pittsburgh EOS	O O O O O O B-depart_time.period_of_day B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_airline
BOS what flights go from boston to dallas EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS may i please see airlines and flight numbers from new york to toronto on the same date june seventeenth also arriving in toronto before noon thank you EOS	O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-depart_date.date_relative O B-depart_date.month_name B-depart_date.day_number O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time O O atis_airline#atis_flight_no
BOS show me all flights from san diego to los angeles EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS list the earliest flight from st. paul to san jose EOS	O O O B-flight_mod O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS i am also interested in a flight that runs from st. louis to las vegas EOS	O O O O O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS what is fare code h EOS	O O O O O B-fare_basis_code atis_abbreviation
BOS i would like to originate my flight in washington dc stop in denver with the destination city of san francisco EOS	O O O O O O O O O B-fromloc.city_name B-fromloc.state_code O O B-stoploc.city_name O O O O O B-toloc.city_name I-toloc.city_name atis_flight
BOS i'm flying from boston to dallas EOS	O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS i want to leave chicago next tuesday and arrive in detroit around 6 pm EOS	O O O O O B-fromloc.city_name B-depart_date.date_relative B-depart_date.day_name O O O B-toloc.city_name B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time atis_flight
BOS show morning flights from philadelphia to dallas EOS	O O B-depart_time.period_of_day O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS list all the airlines that fly into general mitchell international EOS	O O O O O O O O B-toloc.airport_name I-toloc.airport_name I-toloc.airport_name atis_airline
BOS what type of aircraft is used flying from atlanta to denver before 12 noon EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_aircraft
BOS how many first class flights does united have leaving from all cities today EOS	O O O B-class_type I-class_type O O B-airline_name O O O O O B-depart_date.today_relative atis_quantity
BOS list the flights from philadelphia to san francisco via dallas EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-stoploc.city_name atis_flight
BOS show me all the saturday flights from pittsburgh to baltimore EOS	O O O O O B-depart_date.day_name O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS does united have a flight from miami to washington dc on wednesday EOS	O O B-airline_name O O O O B-fromloc.city_name O B-toloc.city_name B-toloc.state_code O B-depart_date.day_name atis_flight
BOS show me all flights from baltimore to philadelphia EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS i would like to fly from philadelphia to dallas EOS	O O O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS show me flights from pittsburgh to philadelphia EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS please give me the flights available from boston to pittsburgh on wednesday of next week EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name O B-depart_date.date_relative O atis_flight
BOS first class price san francisco pittsburgh round trip EOS	O B-class_type I-class_type O B-fromloc.city_name I-fromloc.city_name B-fromloc.city_name B-round_trip I-round_trip atis_airfare
BOS what flights are there from atlanta to washington early on thursday mornings EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name B-depart_time.period_mod O B-depart_date.day_name B-depart_time.period_of_day atis_flight
BOS show me all flights from new york to miami leaving on a tuesday EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O O B-depart_date.day_name atis_flight
BOS what times does the late afternoon flight leave from washington for denver EOS	O O B-flight_time O O B-depart_time.period_of_day I-depart_time.period_of_day O O O B-fromloc.city_name O B-toloc.city_name atis_flight_time
BOS what ground transportation is there from denver EOS	O O O O O O O B-city_name atis_ground_service
BOS i would like the flights available from boston to denver arriving in denver on 9 o'clock wednesday morning on or by 9 o'clock wednesday morning EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name O O B-toloc.city_name O B-arrive_time.time I-arrive_time.time B-arrive_date.day_name B-arrive_time.period_of_day O B-or B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time B-arrive_date.day_name B-arrive_time.period_of_day atis_flight
BOS i need flight information leaving atlanta and arriving in baltimore for monday EOS	O O O O O O B-fromloc.city_name O O O B-toloc.city_name O B-arrive_date.day_name atis_flight
BOS what ground transportation is available at the atlanta airport EOS	O O O O O O O O B-airport_name I-airport_name atis_ground_service
BOS give me the flights from miami to new york using tower air EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-airline_name I-airline_name atis_flight
BOS i'm interested in the cheapest fare from washington to fort worth EOS	O O O O O B-cost_relative O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_airfare
BOS what is the latest first class flight of the day leaving dallas for san francisco EOS	O O O O B-flight_mod B-class_type I-class_type O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight
BOS show me the first class fares from baltimore to dallas EOS	O O O O B-class_type I-class_type O O B-fromloc.city_name O B-toloc.city_name atis_airfare
BOS what is the cost of limousine service at logan airport EOS	O O O O O O B-transport_type O O B-airport_name I-airport_name atis_ground_fare
BOS what is the earliest flight from tampa to milwaukee tomorrow EOS	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name B-depart_date.today_relative atis_flight
BOS what are the fares for flights between atlanta and dfw EOS	O O O O O O O O B-fromloc.city_name O B-toloc.airport_code atis_airfare
BOS what are all flights to denver from philadelphia on sunday EOS	O O O O O O B-toloc.city_name O B-fromloc.city_name O B-depart_date.day_name atis_flight
BOS what transportation is available from the dallas airport to downtown EOS	O O O O O O O B-fromloc.airport_name I-fromloc.airport_name O O atis_ground_service
BOS what are the flights from milwaukee to orlando on wednesday EOS	O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.day_name atis_flight
BOS i want a flight from los angeles to pittsburgh that arrives before 3 pm on tuesday EOS	O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name O O B-arrive_time.time_relative B-arrive_time.time I-arrive_time.time O B-arrive_date.day_name atis_flight
BOS what time is the last flight from washington to san francisco EOS	O O B-flight_time O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name atis_flight_time
BOS show me any show me what the first class fares are of the flights from pittsburgh to san francisco on monday EOS	O O O O O O O O B-class_type I-class_type O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name atis_airfare
BOS show me ground transportation in san francisco EOS	O O O O O O B-city_name I-city_name atis_ground_service
BOS give me all the flights from new york to miami round trip with costs less than 466 dollars EOS	O O O O O O O B-fromloc.city_name I-fromloc.city_name O B-toloc.city_name B-round_trip I-round_trip O O B-cost_relative O B-fare_amount I-fare_amount atis_flight
BOS i want to fly boston to dallas EOS	O O O O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS what is the cheapest round trip fare on continental 1291 round trip denver san francisco EOS	O O O O B-cost_relative B-round_trip I-round_trip O O B-airline_name B-flight_number B-round_trip I-round_trip B-fromloc.city_name B-fromloc.city_name I-fromloc.city_name atis_airfare
BOS what is fare code y mean EOS	O O O O O B-fare_basis_code O atis_abbreviation
BOS show me flights from pittsburgh to san francisco on friday leaving after 12 noon EOS	O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name O B-depart_date.day_name O B-depart_time.time_relative B-depart_time.time I-depart_time.time atis_flight
BOS what flights from denver to salt lake city EOS	O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS what is the earliest flight from boston to philadelphia EOS	O O O O B-flight_mod O O B-fromloc.city_name O B-toloc.city_name atis_flight
BOS what is ff EOS	O O O B-airline_code atis_abbreviation
BOS what are all the flights available between pittsburgh and dallas fort worth EOS	O O O O O O O O B-fromloc.city_name O B-toloc.city_name I-toloc.city_name I-toloc.city_name atis_flight
BOS where does flight ua 281 from boston to oakland stop EOS	O O O O B-airline_code B-flight_number O B-fromloc.city_name O B-toloc.city_name B-flight_stop atis_flight
BOS i would like to book a flight from charlotte to baltimore on april eighth EOS	O O O O O O O O O B-fromloc.city_name O B-toloc.city_name O B-depart_date.month_name B-depart_date.day_number atis_flight
BOS show me the flights arriving at love field EOS	O O O O O O O B-toloc.airport_name I-toloc.airport_name atis_flight
BOS i want to leave philadelphia and arrive in atlanta on a thursday EOS	O O O O O B-fromloc.city_name O O O B-toloc.city_name O O B-arrive_date.day_name atis_flight
